시설명,위도,경도,유형
가락변전소,37.4947762,127.1184572,Point
가양변전소,37.5705511,126.836565,Area
강남변전소,37.5117201,127.0649991,Point
강동변전소,37.5368167,127.1506209,Area
개포변전소,37.4837996,127.073679,Area
계양변전소,37.57119,126.7384829,Area
고강변전소,37.5394276,126.817394,Area
고양변전소,37.6634195,126.8182768,Area
과천변전소,37.4257692,127.0022774,Area
관교변전소,37.4390978,126.7025407,Area
관양변전소,37.4004304,126.9544671,Area
광장변전소,37.5459113,127.0983749,Area
교대변전소,37.4858239,127.0123696,Point
구공변전소,37.477293,126.8775223,Area
구로변전소,37.498073,126.8831182,Area
구리변전소,37.6031892,127.145252,Area
구의변전소,37.5358559,127.0956959,Point
군자변전소,37.5598423,127.0564971,Area
노들변전소,37.5156285,126.9214323,Point
노량진변전소,37.5138436,126.9457478,Area
노원변전소,37.6282767,127.0586435,Area
녹번변전소,37.6038632,126.9230994,Point
논일변전소,37.5116784,127.0225828,Point
논현변전소,37.5196202,127.0341401,Point
능곡변전소,37.6189664,126.8425549,Area
대림변전소,37.5006803,126.9090554,Point
대방변전소,37.4720557,126.9170509,Area
대치변전소,37.5060546,127.0563712,Point
덕이변전소,37.6874002,126.7321484,Area
도곡변전소,37.4883083,127.0541016,Point
도당변전소,37.507312,126.7871712,Area
도림변전소,37.4233311,126.7542887,Area
도봉변전소,37.6977639,127.0544789,Area
독산변전소,37.4725687,126.8979988,Point
돈암변전소,37.590883,127.0107834,Point
동남변전소,37.4760873,127.131884,Area
동빙고변전소,37.5232208,126.9737821,Area
동서울 변전소,37.5100065,127.1669263,Point
동서울 변전소,37.5084649,127.1667081,Area
등촌변전소,37.551426,126.8650558,Point
뚝도변전소,37.5364118,127.0695432,Area
마곡변전소,37.5563331,126.821286,Point
마장변전소,37.5680788,127.0332427,Area
마포변전소,37.5420315,126.9465674,Point
만수변전소,37.4416349,126.7318307,Area
목동변전소,37.519908,126.8688545,Area
문래변전소,37.5200301,126.8939354,Area
미금변전소,37.5948624,127.184559,Area
미아변전소,37.6139659,127.0284817,Area
반포변전소,37.5163332,127.0088562,Area
방산변전소,37.5657436,126.9990474,Point
방학변전소,37.6827952,127.0464713,Point
보광변전소,37.5238207,126.9963155,Area
봉천변전소,37.4819792,126.9515358,Point
부개변전소,37.4856922,126.731557,Area
부천변전소,37.5065642,126.7863091,Area
불광변전소,37.6475729,126.9184425,Area
사당변전소,37.4758208,126.984411,Area
산성변전소,37.4618691,127.1541575,Area
상계변전소,37.6543701,127.0554767,Area
상봉변전소,37.5928015,127.080461,Point
상암변전소,37.5807426,126.877905,Area
상일변전소,37.5477957,127.1769908,Area
서대문변전소,37.564261,126.9682969,Point
서초변전소,37.4941631,127.0124603,Point
석촌변전소,37.5137514,127.1045611,Point
선릉변전소,37.5114431,127.0581983,Point
성동변전소,37.5677353,127.0397172,Area
성수변전소,37.5467351,127.0507033,Area
성수변전소,37.5471772,127.0643924,Point
성현변전소,37.4269128,127.1623886,Area
세종로변전소,37.5732242,126.974871,Area
소래변전소,37.4616529,126.7897126,Area
송파변전소,37.5088506,127.1192487,Area
송포변전소,37.6856416,126.7613789,Area
수색변전소,37.5834836,126.8988531,Area
수서변전소,37.4861362,127.1077233,Area
순화변전소,37.5608054,126.9713022,Point
시흥변전소,37.4501494,126.897188,Area
신광명변전소,37.4594878,126.8509738,Area
신길변전소,37.4910233,126.9222271,Area
신내변전소,37.6107947,127.0953571,Area
신당변전소,37.5668305,127.0163451,Point
신림변전소,37.4663951,126.9549847,Area
신부평변전소,37.5172276,126.7295104,Area
신사변전소,37.525079,127.0334909,Area
신양재변전소,37.4852226,127.0275647,Point
신정변전소,37.5102184,126.8462887,Area
신촌변전소,37.556093,126.941423,Area
쌍문변전소,37.6471314,127.0272382,Area
아현변전소,37.5545921,126.9556898,Area
안암변전소,37.5837895,127.0284835,Area
야탑변전소,37.4089582,127.156409,Area
양주변전소,37.6843225,126.9184997,Area
양지변전소,37.4853239,127.0273459,Point
양천변전소,37.5322686,126.8759522,Area
양평변전소,37.5304914,126.8932434,Area
여의변전소,37.5277577,126.9302604,Point
역삼변전소,37.5001495,127.0362684,Point
연대변전소,37.5625142,126.9324572,Point
염곡변전소,37.465832,127.0460489,Area
영등포변전소,37.5194513,126.8940703,Area
영오변전소,37.5219607,126.9060309,Point
오류변전소,37.5022115,126.8622944,Area
옥인변전소,37.5825166,126.9687753,Area
온수변전소,37.4911083,126.8243787,Area
왕십리변전소,37.5684612,127.0391305,Area
용두변전소,37.5756993,127.0391962,Point
용산변전소,37.5313791,126.9569331,Area
운니변전소,37.5775814,126.9890131,Point
원남변전소,37.5800159,126.9974609,Point
원미변전소,37.4968918,126.7450511,Area
원흥변전소,37.6369392,126.8708967,Area
위례변전소,37.4813673,127.1512346,Area
은평변전소,37.6101822,126.9368035,Area
이수변전소,37.4990688,126.9910839,Point
일산변전소,37.6502711,126.7979979,Area
임학변전소,37.5452261,126.745011,Area
잠실변전소,37.5034399,127.0815498,Area
종로변전소,37.5688175,126.9920048,Area
종암변전소,37.5942241,127.0412329,Area
중계변전소,37.6467312,127.0823098,Point
중동변전소,37.5233853,126.7635855,Point
중앙변전소,37.5653562,126.9828267,Point
중원변전소,37.4216249,127.1183476,Area
지도변전소,37.6489422,126.8384779,Area
진건변전소,37.6272408,127.16271,Area
천왕변전소,37.4794927,126.8452182,Area
천호변전소,37.5467942,127.1338112,Point
평촌변전소,37.4004304,126.9544671,Area
풍납변전소,37.526741,127.1124893,Point
한남변전소,37.5350892,126.9995405,Area
현저변전소,37.5768813,126.9548956,Area
호수변전소,37.6640406,126.7343116,Area
화곡변전소,37.548978,126.8244736,Area
화양변전소,37.5667664,127.0844515,Point
휘경변전소,37.5926396,127.0683476,Area
흥인변전소,37.5690535,127.0113249,Area
